tvseries_id,cast_id
0,8666
0,15788
0,13284
0,1271
0,41960
1,48371
1,27590
1,7656
1,15405
1,26566
1,1781
1,32306
1,10653
1,9021
1,43627
1,48525
1,19479
1,14386
1,40163
1,27011
1,1725
1,17268
1,51122
2,50875
2,44792
2,1482
2,17167
2,51304
2,46408
2,26554
2,41553
2,23120
2,47521
2,14542
2,19197
2,33957
2,5799
2,26392
2,26066
2,47645
2,38305
3,49225
3,10643
3,42794
3,4121
3,26234
3,31825
3,36683
3,4456
3,28035
3,28659
3,8235
3,23902
3,13347
3,47287
3,39327
3,49396
3,29157
3,41668
4,48235
4,24628
4,4147
4,21373
4,16442
5,44073
5,46008
5,28942
5,18634
5,24118
5,35506
5,23785
5,154
5,50854
5,14346
5,44845
5,36079
5,30695
5,25841
5,48609
5,40090
5,8287
5,53337
6,28004
6,47080
6,43686
6,27977
6,31150
6,37347
6,18446
6,43100
6,13397
6,306
6,2128
6,37557
6,48450
6,19646
6,8495
6,15696
6,26325
6,37063
7,38507
7,11589
7,50362
7,6974
7,19633
7,7890
7,25329
7,21784
7,38702
7,49802
7,47048
7,47446
7,22088
7,18164
7,43236
7,1054
7,14802
7,43858
8,28004
8,34377
8,45647
8,44681
8,50526
8,39583
8,40162
8,8201
8,22808
8,49680
8,19033
8,36768
8,13862
8,16141
8,39881
8,31101
8,37532
8,8821
9,38658
9,47128
9,40166
9,31415
9,28004
9,17684
9,46771
9,17201
9,42103
9,7354
9,38836
9,6417
9,22365
9,10623
9,24017
9,26643
9,50259
9,38666
10,26502
10,23763
10,21518
10,1921
10,2449
10,29407
10,18836
10,49909
10,7975
10,37405
10,19537
10,6418
10,42548
10,21168
10,12353
10,9726
10,1611
10,26107
11,26190
11,49850
11,44342
11,5763
11,2163
11,22569
11,40229
11,15008
11,1867
11,30337
11,1118
11,26277
11,11549
11,1145
11,28310
11,53151
11,7003
11,23391
12,42580
12,43929
12,15203
12,35135
12,15784
12,30412
12,42564
12,37870
12,47546
12,28449
12,6908
12,755
12,49531
12,17565
12,18177
12,21257
12,37292
12,43982
13,29117
13,11508
13,2455
13,35375
13,2038
13,37324
13,16221
13,9043
13,3104
13,25885
13,47618
13,23956
13,27136
13,45378
13,44502
13,26988
13,11974
13,37586
14,45845
14,22703
14,36702
14,44073
14,2834
14,39665
14,15575
14,42909
14,13507
14,31049
14,11227
