network_id,name
369,Star TV
370,FIBE1
371,TV Asahi
372,MTV Latin America
373,GTV
374,The Online Network
375,TV JOJ
376,Showcase
377,American Broadcasting Company
378,BBC Radio 4
379,Freeform
380,C8
381,Show TV
382,Antena 3
383,Canvas
384,MTV2
385,Science Channel
386,KRTVN
387,UPN
388,Arte
389,Super Casino
390,DFC
391,MTV3
392,WRC-TV
393,ALIBI
394,L'Équipe
395,AXS TV
396,Crave
397,BET
398,Global Television Network
399,television networks preceding ABC Family
400,CBC
401,BBC One
402,TeenNick
403,Las Estrellas
404,Canal A
405,Österreichischer Rundfunk
406,TV Tokyo
407,DR Ultra
408,Tele 5
409,France 5
410,Amazon Freevee
411,Nick Jr.
412,YouTube
413,Bally Sports Sun
414,Azteca uno
415,SKYSHO
416,Jetix
417,Channel 5
418,TV National Geographic Channel Animal in Germany
419,EWTNMC
420,Paramount
421,Paramount+
422,Super Channel
423,Internet television
424,Novyi Kanal
425,Zee TV
426,HGTV
427,TV4
428,KBS2
429,TLC
430,Inter
431,UNI
432,TVB Jade
433,Discovery Family
434,Sportsnet 360
435,Venevisión
436,ORF 2
437,Tiny Living
438,TVNZ 2
439,NBC
440,SYFY
441,Muz-TV
442,Crunchyroll
443,RTE1
444,GSN
445,ITV
446,Disney Channel
447,SEVEN
448,TelevenTV
449,Raidió Teilifís Éireann
450,Treehouse TV
451,Hulu
452,Syndicated
453,Red Guaraní
454,RTL
455,Fox Sports Latinoamérica
456,América TV
457,Telewizja Polska
458,ION
459,ZDFGERH
460,Telemundo Africa
461,Sky Sports
462,Viasat 3
463,M1
464,NEWSNTN
465,TBN
466,ESPN
467,BR Fernsehen
468,Current TV
469,AMC
470,Lifetime Movie Network
471,Channel 4
472,Radio Television of Serbia
473,Česká televize
474,Magyar Televízió
475,MTV
476,FRANCE3
477,TBS
478,CMTV
